Gene,Perturbed_Notochord_count,Unperturbed_Notochord_count,Perturbed_Prechordal_count,Unperturbed_Prechordal_count,Notochord_LogFC,Prechordal_LogFC,Total_cells
MAX,534,634,207,107,-0.24764309845185334,0.9520199710981784,741
MAZA,637,634,104,107,0.006810532116893079,-0.04102726826005479,741
MBD1B,587,634,154,107,-0.11112233702935503,0.5253195542937543,741
MBD2,634,634,107,107,0.0,0.0,741
MBD3A,621,634,120,107,-0.02988957191892581,0.16542360920737145,741
MBD3B,650,634,91,107,0.03595687777640969,-0.2336723462024507,741
MCAMB,634,634,107,107,0.0,0.0,741
MECOM,634,634,107,107,0.0,0.0,741
MECP2,634,634,107,107,0.0,0.0,741
MEF2AA,634,634,107,107,0.0,0.0,741
MEF2B,634,634,107,107,0.0,0.0,741
MEF2CA,634,634,107,107,0.0,0.0,741
MEF2CB,634,634,107,107,0.0,0.0,741
MEF2D,637,634,104,107,0.006810532116893079,-0.04102726826005479,741
MEIS1A,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
MEIS1B,634,634,107,107,0.0,0.0,741
MEIS2A,634,634,107,107,0.0,0.0,741
MEIS2B,593,634,148,107,-0.09645073559340366,0.46798637922780284,741
MEIS3,634,634,107,107,0.0,0.0,741
MEOX1,634,634,107,107,0.0,0.0,741
MEOX2A,634,634,107,107,0.0,0.0,741
MEOX2B,634,634,107,107,0.0,0.0,741
MESPAA,646,634,95,107,0.027051324554517794,-0.17161137807019913,741
MESPAB,634,634,107,107,0.0,0.0,741
MESPBA,634,634,107,107,0.0,0.0,741
MESPBB,634,634,107,107,0.0,0.0,741
MGAA,631,634,110,107,-0.006842835156858206,0.0398927271235125,741
MITFA,634,634,107,107,0.0,0.0,741
MITFB,634,634,107,107,0.0,0.0,741
MIXL1,645,634,96,107,0.024816320171209057,-0.15650448567999078,741
MKXA,634,634,107,107,0.0,0.0,741
MKXB,634,634,107,107,0.0,0.0,741
MLX,585,634,156,107,-0.11604621566864032,0.5439352324611013,741
MLXIP,591,634,150,107,-0.10132470996187483,0.48735170409473394,741
MNT,634,634,107,107,0.0,0.0,741
MNTB,637,634,104,107,0.006810532116893079,-0.04102726826005479,741
MNX1,634,634,107,107,0.0,0.0,741
MNX2A,634,634,107,107,0.0,0.0,741
MNX2B,634,634,107,107,0.0,0.0,741
MSANTD1,631,634,110,107,-0.006842835156858206,0.0398927271235125,741
MSGN1,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
MSI2B,644,634,97,107,0.022577847975209585,-0.1415541442140193,741
MSX1A,634,634,107,107,0.0,0.0,741
MSX1B,637,634,104,107,0.006810532116893079,-0.04102726826005479,741
MSX2A,634,634,107,107,0.0,0.0,741
MSX2B,634,634,107,107,0.0,0.0,741
MSX3,634,634,107,107,0.0,0.0,741
MTERF1,634,634,107,107,0.0,0.0,741
MTERF2,634,634,107,107,0.0,0.0,741
MTERF3,634,634,107,107,0.0,0.0,741
MTERF4,634,634,107,107,0.0,0.0,741
MTL5,634,634,107,107,0.0,0.0,741
MXD1,634,634,107,107,0.0,0.0,741
MXD3,636,634,105,107,0.004543925144948079,-0.027221468735024314,741
MXD4,634,634,107,107,0.0,0.0,741
MXI1,568,634,173,107,-0.15859191063472522,0.6931612412355778,741
MXTX1,627,634,114,107,-0.016017397337368386,0.09142302776359458,741
MXTX2,636,634,105,107,0.004543925144948079,-0.027221468735024314,741
MYB,634,634,107,107,0.0,0.0,741
MYBL1,631,634,110,107,-0.006842835156858206,0.0398927271235125,741
MYBL2A,636,634,105,107,0.004543925144948079,-0.027221468735024314,741
MYBL2B,650,634,91,107,0.03595687777640969,-0.2336723462024507,741
MYCA,634,634,107,107,0.0,0.0,741
MYCB,640,634,101,107,0.013589064747955008,-0.08325550364935222,741
MYCH,630,634,111,107,-0.009131011752128378,0.05294887994895902,741
MYCLA,629,634,112,107,-0.011422823260117992,0.06588793565645701,741
MYCLB,615,634,126,107,-0.04389642991280509,0.2358129370987694,741
MYCN,606,634,135,107,-0.06516504666645626,0.33534861064968396,741
MYF5,634,634,107,107,0.0,0.0,741
MYF6,634,634,107,107,0.0,0.0,741
MYNN,638,634,103,107,0.009073583625462067,-0.054966459217928566,741
MYOD1,634,634,107,107,0.0,0.0,741
MYOG,634,634,107,107,0.0,0.0,741
MYRF,634,634,107,107,0.0,0.0,741
MYSM1,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
MYT1A,634,634,107,107,0.0,0.0,741
MYT1B,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
MYT1LA,634,634,107,107,0.0,0.0,741
NAIF1,633,634,108,107,-0.0022773407110659246,0.01342051576232144,741
NANOG,613,634,128,107,-0.04859576644862577,0.25853301359885295,741
NCOA2,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
NEUROD1,634,634,107,107,0.0,0.0,741
NEUROD2,634,634,107,107,0.0,0.0,741
NEUROD4,634,634,107,107,0.0,0.0,741
NEUROD6A,636,634,105,107,0.004543925144948079,-0.027221468735024314,741
NEUROD6B,635,634,106,107,0.0022737515201209325,-0.01354653183794777,741
